Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Anchorage Golf Course,,Anchorage,,Public,https://www.anchoragegolfcourse.com/,clubprophet,https://anchoragegc.cps.golf/onlineresweb/search-teetime,yes,high,"Pro shop (907) 522-3363 | 18 holes par 72, Bill Newcomb 1987; season ~May 15-Oct 1 | Southcentral/Anchorage region | Source sheet only found the JS-gated course site; the MODERN public CPS tenant anchoragegc.cps.golf was found and verified live 2026-08-11 (no login wall, $84 slots for 8/13) - same Lake Arbor pattern. Legacy secure.west.prophetservices.com/AnchorageGC is the old login portal, do not use"
Settlers Bay Golf Course,,Wasilla,,Public,https://www.settlersbay.com/,clubprophet,https://settlersbay.cps.golf/onlineresweb/search-teetime,yes,high,"Pro shop (907) 376-5466 | 18 holes par 71-72 at Mile 8 Knik Rd | Mat-Su Valley region | Source sheet said vendor unconfirmed: the embedded widget on settlersbay.com/book-a-tee-time is an iframe to the PUBLIC CPS tenant settlersbay.cps.golf (read live 2026-08-11; $53-65 slots served for 8/13, multi-course selector)"
Moose Run Golf Course - Creek Course,,Anchorage (JBER),,Military,https://www.mooserungolfcourse.com/,other:cps-login,https://mooserun.cps.golf/,yes,high,"Pro shop (907) 384-4653 | 18 holes par 72 7324 yds (2000); Army MWR, civilians welcome with base access; Alaska's only 36-hole facility | Southcentral/Anchorage region | NOT scrapeable: mooserun.cps.golf is a LOGIN-WALLED CPS tenant (verified 2026-08-11 - /search-teetime redirects to auth/verify-email, same class as West Woods CO) and their own site links only this. GolfNow carries course-info pages but no tee-time facility. Book on their site with an account"
Moose Run Golf Course - Hill Course,,Anchorage (JBER),,Military,https://www.mooserungolfcourse.com/,other:cps-login,https://mooserun.cps.golf/,yes,high,"Pro shop (907) 384-4653 | 18 holes par 72 6492 yds (1952, redesigned 1996); shares clubhouse and the login-walled Club Prophet tee sheet with the Creek Course | Southcentral/Anchorage region | Same login-walled tenant as Creek - see that row; if the tenant ever goes public like Lake Arbor/Anchorage GC, onboarding is a one-line flip to clubprophet"
Chena Bend Golf Course,,Fort Wainwright,,Military,https://wainwright.armymwr.com/programs/chena-bend-clubhouse-and-golf-course,teeitup,https://chena-bend-golf-course.book.teeitup.com/?course=18083,yes,high,"Pro shop (907) 353-6223 | 18 holes par 72 6476 yds; Army MWR, farthest-north US military course; civilians need a base Recreational Pass (military book 14 days out, civilians 7) | Interior/Fairbanks region | kenna alias verified = vanity host, facility 18083, timeZone America/Anchorage from facility metadata; 37-38 slots served for 8/13-8/15 at probe time 2026-08-11"
Kenai Golf Course,,Kenai,,Public,https://kenaigolfcourse.com/,teesnap,https://kenaigolfcourse.teesnap.net/,yes,high,"Pro shop (907) 283-7500 | 18-hole full-service course, opened 1986; only 18-holer on the Kenai Peninsula | Kenai Peninsula region | Source sheet saw a Teesnap maintenance banner Aug 2026 - cleared by 2026-08-11, tenant page loads normally"
Palmer Municipal Golf Course,,Palmer,,Municipal,https://palmermunicipalgolfcourse.org/,teesnap,https://palmergc.teesnap.net/,yes,high,"Pro shop (907) 745-4653 | 18 holes par 72, city-owned; also branded Palmer Golf Course; season ~mid-Apr to Oct | Mat-Su Valley region | Teesnap tenant verified loading 2026-08-11"
Birch Ridge Golf Course,,Soldotna,,Public,https://birchridgegolf.com/,teesnap,https://birchridgegolf.teesnap.net/,yes,high,"Pro shop (907) 262-5270 | 9 holes with alternate tees/greens for 18, Thomas R. Smith 1973, Mile 92 Sterling Hwy | Kenai Peninsula region | Teesnap tenant verified loading 2026-08-11; pro shop also takes phone reservations"
Bird Homestead Golf Course,,Soldotna,,Public,,golfnow,https://www.golfnow.com/tee-times/facility/17923-bird-homestead-golf-course/search,yes,high,"Pro shop (907) 260-4653 | 9 holes par 37 3250 yds on Funny River Rd, built 2004; driving range and teaching pro | Kenai Peninsula region | GolfNow facility 17923 is its only online channel (no course website found)"
Midnight Sun Golf Course,,Fairbanks,,Public,https://midnightsungolfak.com/,other:square,https://tournaments-104128.square.site/tee-times,yes,high,"Pro shop (907) 415-1264 | 18 holes par 72; formerly North Star Golf Club (1993) - northernmost 18-hole course in the USA | Interior/Fairbanks region | Books through Square Online, no scrapeable tee sheet - directory card points at their Square site"
