Course Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Adobe Creek National Golf Course,Fruita,81521,Public,https://www.adobecreekgolf.com,foreup,https://foreupsoftware.com/index.php/booking/22979#/teetimes,yes,high,ForeUp course 22979.
Antler Creek Golf Course,Peyton,80831,Public,https://www.antlercreekgolf.com,teeitup,https://antler-creek-golf-course.book.teeitup.com/,yes,high,TeeItUp alias.
Applewood Golf Course,Golden,80401,Public,https://www.applewoodgc.com,clubcaddie,https://apimanager-cc11.clubcaddie.com/webapi/view/hbfdabab,yes,high,ClubCaddie cc11.
Arrowhead Golf Club,Littleton,80125,Public,https://www.arrowheadcolorado.com,golfnow,https://www.golfnow.com/tee-times/facility/453-arrowhead-golf-club/search,yes,high,GolfNow facility 453 (Arcis).
Aspen Glen Club,Carbondale,81623,Private,https://www.aspen-glen.com,,,private,,Private club — no public tee times
Aspen Golf Club,Aspen,81611,Public,https://www.aspengolf.com,foreup,https://foreupsoftware.com/index.php/booking/22463/10920,yes,high,ForeUp 22463/10920.
Aurora Hills Golf Course,Aurora,80012,Public,https://www.auroragov.org,ezlinks,https://cityofaurora.ezlinksgolf.com,yes,high,Aurora shared EZLinks portal.
Ballyneal Golf & Hunt Club,Holyoke,80734,Private,https://www.ballyneal.com,,,private,,Private club — no public tee times
Battlement Mesa Golf Club,Parachute,81635,Public,https://www.battlementmesagolf.com,foreup,https://foreupsoftware.com/index.php/booking/22540/11130,yes,high,ForeUp 22540/11130.
Bear Creek Golf Club,Denver,80228,Private,https://www.bearcreekgolfclub.net,,,private,,Private club — no public tee times
Beaver Creek Golf Club,Avon,81620,Resort,https://www.beavercreek.com,quick18,https://beavercreek.quick18.com/,yes,medium,"Vail Resorts course; quick18 portal, robots-blocked direct verification."
Bella Ridge Golf Course,Johnstown,80534,Public,https://www.bellaridgegolf.com,golfnow,https://www.golfnow.com/tee-times/facility/19098-bella-ridge-golf-club/search,yes,low,Own /book/ page 403s; GolfNow listing found.
Bella Rosa Municipal Golf Course,Longmont,80504,Public,https://www.bellarosagolf.com,foreup,https://foreupsoftware.com/index.php/booking/23186,yes,high,ForeUp 23186.
