"Course Name","City","Zip","Type","Website","Booking Platform (confirmed)"
"Adobe Creek National Golf Course","RoadFruita","81521","PublicHoles","https://www.adobecreekgolf.com","ForeUp"
"Antler Creek Golf Course","Antler Creek DriveFalcon","80831","PublicHoles","https://www.antlercreekgolf.com","GolfNow/TeeItUp"
"Applewood Golf Course","nd AvenueGolden","80401","PublicHoles","https://www.applewoodgc.com","Club Caddie"
"Arrowhead Golf Club","W. Sundown TrailLittleton","80125","PublicHoles","https://www.arrowheadcolorado.com","GolfNow/EZLinks"
"Aspen Glen Club","Bald Eagle WayCarbondale","81623","PrivateHoles","https://www.aspen-glen.com",""
"Aspen Golf Club","Truscott PlaceAspen","81611","PublicHoles","https://www.aspengolf.com","ForeUp"
"Aurora Hills Golf Course","S. Peoria StreetAurora","80012","PublicHoles","https://www.auroragov.org","GolfNow/TeeItUp"
"Ballyneal Golf & Hunt Club","Hunt ClubOne Ballyneal LaneHolyoke","80734","PrivateHoles","https://www.ballyneal.com",""
"Battlement Mesa Golf Club","N. Battlement ParkwayBattlement Mesa","81635","PublicHoles","https://www.battlementmesagolf.com","ForeUp"
"Bear Creek Golf Club","Morrison RoadDenver","80228","PrivateHoles","https://www.bearcreekgolfclub.net",""
"Beaver Creek Golf Club","Offerson RoadBeaver Creek","81620","ResortHoles","https://www.beavercreek.com",""
"Bella Ridge Golf Course","Johnstown","80534","PublicHoles","https://www.bellaridgegolf.com",""
"Bella Rosa Municipal Golf Course","Bella Rosa PkwyFrederick","80504","PublicHoles","https://www.bellarosagolf.com","ForeUp"
"Black Canyon Golf Course","Birch StreetMontrose","81401","PublicHoles","https://www.cityofmontrose.org",""
"Bookcliff Country Club","G RoadGrand Junction","81506","PrivateHoles","https://www.bookcliffcc.com",""
"Boomerang Golf Links","th StreetGreeley","80634","PublicHoles","https://www.greeleygov.com",""
"Boulder Country Club","Clubhouse RoadBoulder","80301","PrivateHoles","https://www.bouldercc.org",""
"Breckenridge Golf Club","Clubhouse DriveBreckenridge","80424","PublicHoles","https://www.breckenridgegolfclub.com","ForeUp"
"Broadlands Golf Course","th AvenueBroomfield","80020","PublicHoles","https://www.thebroadlandsgc.com",""
"Broadmoor Golf Club","Lake AvenueColorado Springs","80906","ResortHoles","https://www.broadmoor.com",""
"Broken Tee Golf Course","W. Oxford AvenueEnglewood","80110","PublicHoles","https://www.englewoodco.gov",""
"Buffalo Run Golf Course","th AvenueCommerce City","80022","PublicHoles","https://www.buffalorungolfcourse.com","GolfNow/TeeItUp"
"Castle Pines Golf Club","Hummingbird DriveCastle Rock","80108","PrivateHoles","https://castlepinesgolfclub.club",""
"Catamount Ranch & Club","B Catamount DriveSteamboat Springs","80477","PrivateHoles","https://www.catamountranchclub.com",""
"Cattail Creek Golf Course","th StreetLoveland","80538","PublicHoles","https://www.golfloveland.com","ForeUp"
"Cattails Golf Club","N. River RoadAlamosa","81101","PublicHoles","https://www.alamosacattails.com","ForeUp"
"Cedar Ridges Golf Course","Rangely","81648","PublicHoles","https://www.cedarridgesgolfcourse.com",""
"Cedaredge Golf Club","S.E. Jay AvenueCedaredge","81413","PublicHoles","https://www.cedaredgegolf.com",""
"Challenger Golf Course","County Road TCrestone","81131","PublicHoles","https://www.facebook.com",""
"Cherokee Ridge Golf Course","Tuskegee PlaceColorado Springs","80915","PublicHoles","https://www.cherokeeridgegolfcourse.com",""
"Cherry Creek Country Club","S. Yosemite StreetDenver","80231","PrivateHoles","https://www.cherrycreekcountryclub.com",""
"Cherry Hills Country Club","S. University BoulevardCherry Hills Village","80113","PrivateHoles","https://www.chcc.com",""
"Cheyenne Shadows Golf Club at Ft. Carson","Titus BoulevardFort Carson","80913","MilitaryHoles","https://carson.armymwr.com",""
"Chipeta Golf Course","RoadGrand Junction","81503","PublicHoles","https://www.chipetagolf.com","ForeUp"
"City Park Golf Course","rd AvenueDenver","80205","PublicHoles","https://www.denvergov.org","MemberSports"
"City Park Nine Golf Course","S. Bryan AvenueFort Collins","80521","PublicHoles","https://www.fcgov.com",""
"Club At  Cordillera - Short Course","Kensington DriveEdwards","81632","PrivateHoles","https://www.golfcordillera9.com",""
"Club At Cordillera - Mountain Course","Clubhouse DriveEdwards","81632","PrivateHoles","https://www.cordillera-vail.com",""
"Club At Cordillera - Summit Course","Gore TrailEdwards","81632","PrivateHoles","https://www.cordillera-vail.com",""
"Club At Cordillera - Valley Course","Legends DriveEdwards","81632","PrivateHoles","https://www.cordillera-vail.com",""
"Clubcorp At Black Bear Golf Club","Canterberry ParkwayParker","80138","Semi-PrivateHoles","https://www.invitedclubs.com",""
"Clubcorp At Blackstone Country Club","S. Country Club ParkwayAurora","80016","PrivateHoles","https://www.invitedclubs.com",""
"Coal Creek Golf Course","W. Dillon RoadLouisville","80027","PublicHoles","https://www.coalcreekgolf.com","MemberSports"
"Collegiate Peaks Golf Course","Fairway DriveBuena Vista","81211","PublicHoles","https://collegiatepeaksgolf.com",""
"Collindale Golf Course","E. Horsetooth RoadFort Collins","80525","PublicHoles","https://www.fcgov.com","ForeUp"
"Colorado Golf Club","Preservation TrailParker","80134","PrivateHoles","https://www.coloradogolfclub.com",""
"Colorado National Golf Club","Vista ParkwayErie","80516","PublicHoles","https://www.coloradonationalgolfclub.com","GolfNow/TeeItUp"
"Colorado Springs Country Club","Templeton Gap RoadColorado Springs","80907","PrivateHoles","https://www.cscountryclub.com",""
"Columbine Country Club","Fairway LaneColumbine Valley","80123","PrivateHoles","https://www.columbinecc.com",""
"CommonGround Golf Course","s WayAurora","80010","PublicHoles","https://www.commongroundgc.com","GolfNow/TeeItUp"
"Conquistador Golf Course","N. Dolores RoadCortez","81321","PublicHoles","https://www.fourcornersgolf.com",""
"Copper Creek Golf Club","Wheeler PlaceCopper Mountain","80443","ResortHoles","https://www.coppercolorado.com",""
"Cornerstone Club","Cornerstone TrailMontrose","81403","PrivateHoles","https://www.cornerstoneclub.com",""
"Cottonwood Links Golf Club","Cottonwood LaneFowler","81039","PublicHoles","https://www.cottonwoodlinks.com",""
"Country Club at Castle Pines","Country Club DriveCastle Rock","80108","PrivateHoles","https://www.ccatcastlepines.com",""
"Country Club at Woodmoor","Pebble Beach WayMonument","80132","PrivateHoles","https://www.ccwoodmoor.com",""
"Country Club of Colorado","E. Clubhouse DriveColorado Springs","80906","PrivateHoles","https://www.ccofcolorado.com",""
"Country Club of the Rockies","Sawatch DriveEdwards","81632","PrivateHoles","https://www.countrycluboftherockies.com",""
"Coyote Creek Golf Course","Clubhouse DriveFort Lupton","80621","PublicHoles","https://www.coyotecreekgc.com",""
"Dalton Ranch Golf Club","Durango","81301","Semi-PrivateHoles","https://www.daltonranch.com",""
"Denver Country Club","st AvenueDenver","80218","PrivateHoles","https://www.denvercc.net",""
"Desert Hawk at Pueblo West","S. McCulloch BoulevardPueblo West","81007","PublicHoles","https://www.deserthawkgolfcourse.com",""
"Devil's Thumb Golf Club","Devils Thumb RoadDelta","81416","PublicHoles","https://www.devilsthumbgolfcourse.net",""
"Divide Ranch & Club","Divide Ranch CircleRidgway","81432","PublicHoles","https://www.divideranchandclub.com",""
"Dos Rios Golf Club","Camino Del RioGunnison","81230","Semi-PrivateHoles","https://www.dosriosgolf.net",""
"Eads Golf Course","Golf Course RoadEads","81036","PublicHoles","https://www.facebook.com",""
"Eagle Ranch Golf Course","Lime Park DriveEagle","81631","PublicHoles","https://www.eagleranchgolf.com",""
"Eagle Springs Golf Club","Wolcott","81655","PrivateHoles","https://www.eaglesprings.org",""
"Eagle Trace Golf Club","Clubhouse DriveBroomfield","80020","PublicHoles","https://www.eagletracegolfclub.com",""
"EagleVail Golf Club","Eagle DriveAvon","81620","PublicHoles","https://www.eaglevailgolfclub.com","Club Caddie"
"Eaton Country Club","Eaton","80615","PrivateHoles","https://www.eatoncountryclub.com",""
"Eisenhower Golf Club","Colorado Springs","80840","MilitaryHoles","https://usafasupport.com",""
"Elmwood Golf Course","Thatcher AvenuePueblo","81005","PublicHoles","https://www.pueblocitygolf.com",""
"Emerald Greens Golf Club","S. Clinton StreetDenver","80247","PublicHoles","https://www.windsorgardensdenver.org",""
"Estes Park Golf Course","Golf Course RoadEstes Park","80517","PublicHoles","https://www.evrpd.com",""
"Evergreen Golf Course","Upper Bear Creek RoadEvergreen","80439","PublicHoles","https://www.cityofdenvergolf.com","MemberSports"
"F&H Park and Recreation District","Haxtun","80731","PublicHoles","https://www.facebook.com",""
"Flatirons Golf Course","Arapahoe AvenueBoulder","80303","PublicHoles","https://www.flatironsgolf.com",""
"Foothills Golf Course","S. Carr StreetDenver","80235","PublicHoles","https://www.foothillsgolf.org",""
"Fort Collins Country Club","Country Club RoadFort Collins","80524","PrivateHoles","https://www.fortcollinscc.com",""
"Fossil Trace Golf Club","Illinois StreetGolden","80401","PublicHoles","https://www.fossiltrace.com","Club Prophet (cps.golf)"
"Four Mile Ranch Golf Club","Telegraph TrailCanon City","81212","PublicHoles","https://www.fourmileranchgolf.com",""
"Fox Hollow Golf Course","Morrison RoadLakewood","80228","PublicHoles","https://www.golflakewood.com",""
"Frost Creek","Frost CreekEagle","81631","PrivateHoles","https://www.frostcreek.com",""
"Glacier Club","Glacier Club DriveDurango","81301","PrivateHoles","https://www.theglacierclub.com",""
"Glenmoor Country Club","Glenmoor DriveCherry Hills Village","80113","PrivateHoles","https://www.glenmoorcc.org",""
"Glenwood Springs Golf Club","Sunny Acres DriveGlenwood Springs","81601","PublicHoles","https://www.glenwoodspringsgolf.com","ForeUp"
"Golf at River Valley Ranch","River Valley Ranch DriveCarbondale","81623","PublicHoles","https://www.rvrgolf.com",""
"Golf Club At Bear Dance","Bear Dance RoadLarkspur","80118","PublicHoles","https://www.beardancegolf.com",""
"Golf Club at Fox Acres","Fox Acres Drive WestRed Feather Lakes","80545","PrivateHoles","https://www.golfclubatfoxacres.com",""
"Golf Granby Ranch","Granby","80446","PublicHoles","https://www.golfgranbyranch.com","Chronogolf/Lightspeed"
"Grand Elk Golf Club","Ten Mile DriveGranby","80446","PublicHoles","https://www.grandelk.com","GolfNow/EZLinks"
"Grand Lake Golf Course","Grand Lake","80447","PublicHoles","https://www.grandlakerecreation.com",""
"Grandote Peaks Golf Club","La Veta","81055","PublicHoles","https://www.grandotepeaks.com",""
"Greeley Country Club","th StreetGreeley","80634","PrivateHoles","https://www.greeleycc.org",""
"Green Valley Ranch Golf Club","Himalaya RoadDenver","80249","PublicHoles","https://www.gvrgolf.com",""
"Greenway Park Golf Course","Greenway DriveBroomfield","80020","PublicHoles","https://www.gwphoa.org",""
"Gypsum Creek Golf Course","Cotton Ranch DriveGypsum","81637","PublicHoles","https://www.gypsumcreekgolf.com",""
"Harmony Club","Club DriveTimnath","80547","PrivateHoles","https://www.harmonyclub.info",""
"Harvard Gulch Golf Course","E. Iliff AvenueDenver","80210","PublicHoles","https://www.cityofdenvergolf.com",""
"Haymaker Golf Course","EastSteamboat Springs","80487","PublicHoles","https://www.haymakergolf.com","Club Prophet (cps.golf)"
"Heather Gardens Golf Course","S. Heather Gardens WayAurora","80014","PublicHoles","https://www.heathergardens.org",""
"Heritage Eagle Bend Golf Club","E. Heritage ParkwayAurora","80016","Semi-PrivateHoles","https://www.heritageeaglebend.com",""
"Highland Hills Golf Course","Clubhouse DriveGreeley","80634","PublicHoles","https://www.golfingreeley.com",""
"Highland Meadows Golf Course","Highland Meadows ParkwayWindsor","80550","PublicHoles","https://www.highlandmeadowsgolfcourse.com","Chronogolf/Lightspeed"
"Hillcrest Golf Club","Rim DriveDurango","81301","PublicHoles","https://www.golfhillcrest.com",""
"Hiwan Golf Club","Clubhouse LaneEvergreen","80439","PrivateHoles","https://www.hiwan.com",""
"Hollydot Golf Course","N. ParkwayColorado City","81019","PublicHoles","https://www.hollydotgolf.com",""
"Holyoke Golf Course","E. CarnahanHolyoke","80734","PublicHoles","https://www.holyokegolf.com",""
"Homestead Golf Course","W. Hampden AvenueLakewood","80227","PublicHoles","https://www.golflakewood.com",""
"Hugo Golf Club","Hugo","80821","PublicHoles","https://www.facebook.com",""
"Indian Hills Golf Course","Yuma","80759","PublicArchitect","https://golfindianhills.com",""
"Indian Peaks Golf Course","Indian Peaks TrailLafayette","80026","PublicHoles","https://www.indianpeaksgolf.com","Club Prophet (cps.golf)"
"Indian Tree Golf Course","Wadsworth BoulevardArvada","80003","PublicHoles","https://indiantree.apexprd.org","Club Prophet (cps.golf)"
"Ironbridge Golf Club","Ironbridge DriveGlenwood Springs","81601","PublicHoles","https://www.ironbridgeclub.com",""
"Kennedy Golf Course","E. Hampden AvenueDenver","80014","PublicHoles","https://www.denvergov.org",""
"Kings Deer Golf Club","Royal Troon DriveMonument","80132","PublicHoles","https://www.kingsdeergolfclub.com",""
"Kissing Camels at the Garden of The Gods Club","Kissing Camels DriveColorado Springs","80904","PrivateHoles","https://www.gardenofthegodsclub.com",""
"La Junta Golf Club","Harris RoadLa Junta","81050","PublicHoles","https://www.lajuntacolorado.org",""
"Lake Arbor Golf Club","Wadsworth BoulevardArvada","80003","PublicHoles","https://www.lakearborgolf.com",""
"Lake Estes Golf Course","Big ThompsonEstes Park","80517","PublicHoles","https://evrpd.com",""
"Lake Valley Golf Club","Lake Valley DriveNiwot","80503","PrivateHoles","https://www.lakevalley.com",""
"Lakewood Country Club","th AvenueLakewood","80214","PrivateHoles","https://www.lakewoodcountryclub.net",""
"Lakota Links Golf Course","Clubhouse DriveNew Castle","81647","PublicHoles","https://www.lakotacanyonranch.com",""
