Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Turkey Creek Golf Course,,Alachua,,Public,https://turkeycreekgolfcourse.com,teeitup,https://tcgc.book.teeitup.com,yes,high,Exact 'Book Now' link target on turkeycreekgolfcourse.com | Region: North Central FL | Phone: (386) 518-6815
The Links at 434,,Altamonte Springs,,Public,,,,unknown,,Not researched - session web-search and web-fetch quotas exhausted; no website on file to fetch directly | Region: Central FL (Orlando) | Phone: (407) 774-4653 | Research 2026-07-29: Both candidate domains are NXDOMAIN and the directory page 404s
River Hall Country Club,,Alva,,Semi-Private,https://www.riverhallcc.com,other:unclaimed-chronogolf,,yes,high,"Live Chronogolf club page confirming River Hall Country Club, 3500 River Hall Parkway, Alva FL, 18 holes par 72. Club's own site has no exposed booking href. | Region: Southwest FL | Verified 2026-07-29 by the real fetch path (probe-results/newly-ready.json): Chronogolf reports this club as an UNCLAIMED directory listing with online_booking disabled, on all three dates probed - the marketplace API returns nothing, so it was erroring on every scrape while sitting at ready. Retagged so the directory sends golfers to the course's own site instead of a dead placeholder. Where it really sells tee times is open work"
Sweetwater Golf & Country Club,,Apopka,,Semi-Private,,,,unknown,,Not researched - session web-search and web-fetch quotas exhausted; no website on file to fetch directly | Region: Central FL (Orlando) | Phone: (407) 880-3888 | Research 2026-07-29: No official domain located
Paradise Golf Course,,Arcadia,,Public,https://paradisegolfcourse.com,foreup,https://foreupsoftware.com/index.php/booking/20845/5851,yes,high,"ForeUp booking ID 20845, schedule 5851, linked from paradisegolfcourse.com (Arcadia FL, formerly Sunnybreeze Palms). | Region: Southwest FL | Phone: (863) 494-2521"
Atlantis Country Club,,Atlantis,,Semi-Private,https://www.atlantiscountryclub.com/,teeitup,https://atlantis-country-club.book.teeitup.com/,yes,high,Link target on club tee-times page; shop (561) 968-1300 | Region: Southeast FL | Phone: (561) 966-7626
The Hamptons Golf & Country Club,,Auburndale,,Semi-Private,https://hamptonsgolfcc.com,other:native,https://hamptonsgolfcc.com,yes,high,Home page has Book Now CTA (GolfNow-style site template) but all subpages return 403; engine URL not captured | Region: Central FL (Orlando) | Phone: (863) 666-8442 | Research 2026-07-29: Own site welcomes public play and carries Book Now; engine URL not exposed
Panther Run Golf Club,,Ave Maria,,Semi-Private,https://www.pantherrungolfclub.com,,,yes,medium,"pantherrungolfclub.com confirmed as Panther Run, Ave Maria FL, but the server times out intermittently and no booking link, nav URLs or phone could be extracted; /golf, /golf-course, /tee-times all unreachable. TeeItUp slugs invalid. Further attempts blocked by WebFetch rate limiting. | Region: Southwest FL | Research 2026-07-29: Manager hampton.golf lists booking at pantherrungolfclub.com/bookteetimes; engine not captured"
The National Golf & Country Club at Ave Maria,,Ave Maria,,Semi-Private,https://www.thenationalgcc.com,ezlinks,https://nationalatavemaria.ezlinksgolf.com/index.html#/search,yes,high,Non-member public link target on thenationalgcc.com/tee-times/; members use nationalatavemariamb.ezlinksgolf.com. Troon-managed. | Region: Southwest FL | Phone: (239) 867-9090
JW Marriott Miami Turnberry Resort & Spa - Miller Course,,Aventura,,Resort,https://www.turnberryislemiami.com/golf,,,unknown,,Resort golf page lists pro shop phone only | Region: Southeast FL | Phone: (305) 933-6929
JW Marriott Miami Turnberry Resort & Spa - Soffer Course,,Aventura,,Resort,https://www.turnberryislemiami.com/golf,,,unknown,,Resort golf page lists pro shop phone only | Region: Southeast FL | Phone: (305) 933-6929
Highlands Ridge Golf Club - North Course,,Avon Park,,Public,https://highlandsridgegolf.com,clubprophet,https://highlandsridgefl.cps.golf/,yes,high,Booking link on highlandsridgegolf.com; single CPS tee sheet covers North Course and The Preserve (South). | Region: Southwest FL | Phone: (863) 453-9991
Highlands Ridge Golf Club - South Course,,Avon Park,,Public,https://highlandsridgegolf.com,clubprophet,https://highlandsridgefl.cps.golf/,yes,high,Booking link on highlandsridgegolf.com; South course is branded 'The Preserve at Highlands Ridge'. Same CPS tee sheet. | Region: Southwest FL | Phone: (863) 453-9991
Pinecrest Golf Club,,Avon Park,,Semi-Private,https://www.golfpinecrest.com,,,no,,"golfpinecrest.com (Avon Park FL, confirmed via Citrus Golf Trail) directs golfers to the 'tee time hotline' at 863-453-7555; no booking link on home, rates or contact pages, and TeeItUp/Chronogolf slugs invalid. | Region: Southwest FL | Phone: (863) 453-7555"
River Greens Golf Course,,Avon Park,,Public,https://www.rgreens.com,,,no,high,"Citrus Golf Trail member; site has Book A Tee Time; TeeItUp slug resolves to live booking SPA | Region: Southwest FL | Phone: (863) 453-5210 | 2026-08-19 dark-course audit: phone / walk-on only, no online booking. rgreens.com: 'Online tee times are not available, please call the pro shop 863-453-5210.'"
Barefoot Bay Golf Course,,Barefoot Bay,,Semi-Private,https://barefootbaygolf.com,teeitup,https://barefoot-bay-golf-course.book.teeitup.com/,yes,high,Course site barefootbaygolf.com confirms Micco/Barefoot Bay FL and links to this TeeItUp subdomain; subdomain returns a live booking SPA (not the 'subdomain does not exist' page). | Region: Space Coast & Treasure Coast | Phone: (772) 664-3174
Bartow Golf Course,,Bartow,,Municipal,https://bartowgolfclub.com,,,no,,Home page loaded with no booking link; tee-time subpages blocked | Region: Central FL (Orlando) | Phone: (863) 533-9183 | Research 2026-07-29: Municipal; own site exposes a phone number and no booking link
Belle Glade Municipal Golf Club,,Belle Glade,,Municipal,https://www.bellegladegov.com/golf,golfnow,https://www.golfnow.com/tee-times/facility/4314-belle-glade-municipal/search,yes,high,City site Schedule a Tee Time button; facility page confirms city | Region: Southeast FL | Phone: (561) 914-6435
Little Pine Golf Course (Pine Ridge Golf Club),,Beverly Hills,,Closed,https://www.pineridgegolfcc.com,,,no,,Official domain pineridgegolfcc.com fails DNS (Cloudflare error 1016); no booking portal could be tied to this 9-hole course | Region: North Central FL | Phone: (352) 746-6177 | Research 2026-07-29: Pine Ridge CC closed for business in 2022; the Little Pine 9 was part of the same facility
Pine Ridge Golf Club,,Beverly Hills,,Closed,https://www.pineridgegolfcc.com,,,no,,"Official domain pineridgegolfcc.com fails DNS (Cloudflare error 1016); generic 'pine-ridge' TeeItUp subdomains exist but could not be tied to the Beverly Hills FL course, so no URL recorded | Region: North Central FL | Phone: (352) 746-6177 | Research 2026-07-29: Course closed for business in 2022; old domains no longer resolve"
Twisted Oaks Golf Club,,Beverly Hills,,Semi-Private,https://twistedoaksgc.com,foreup,https://foreupsoftware.com/index.php/booking/21267/7545#teetimes,yes,high,Exact 'Book Tee Time' link target on twistedoaksgc.com; foreupsoftware.com is robots-blocked to direct fetch | Region: North Central FL | Phone: (352) 746-6257
The Gasparilla Inn & Club Golf Course,,Boca Grande,,Resort,https://www.the-gasparilla-inn.com,,,no,,Golf exclusive to Inn guests and members; site states course offers play without tee times | Region: Southwest FL | Phone: (941) 964-4565
Alan C. Alford Red Reef Family Golf Course,,Boca Raton,,Municipal,https://www.myboca.us/538/Alan-C-Alford-Red-Reef-Family-Golf-Cours,clubcaddie,https://apimanager-cc22.clubcaddie.com/webapi/view/cjedabab,yes,high,Exact link target on City of Boca Raton golf page | Region: Southeast FL | Phone: (561) 391-5014
Boca Dunes Golf & Country Club,,Boca Raton,,Semi-Private,https://www.bocadunes.com,teeitup,https://boca-dunes-golf-and-country-club.book-v2.teeitup.golf/,yes,high,Site returns 403; no TeeItUp subdomain | Region: Southeast FL | Phone: (561) 451-1600 | Research 2026-07-29: bocadunes.com/teetimes/ links this tee sheet directly
Boca Greens Country Club,,Boca Raton,,Semi-Private,,,,unknown,,No official domain resolved; no TeeItUp subdomain | Region: Southeast FL | Phone: (561) 852-8800 | Research 2026-07-29: No official site or booking page reachable
Boca Raton Golf & Racquet Club,,Boca Raton,,Municipal,https://www.myboca.us/2043/Boca-Raton-Golf-Racquet-Club,clubcaddie,https://apimanager-cc22.clubcaddie.com/webapi/view/ajedabab,yes,high,Exact link target on City of Boca Raton reserve page | Region: Southeast FL | Phone: (561) 367-7000
Osprey Point Golf Course,,Boca Raton,,Municipal,https://pbcospreypointgolf.com/,foreup,https://foreupsoftware.com/index.php/booking/21262/7481#/teetimes,yes,high,Linked from course site and PBC golf page | Region: Southeast FL | Phone: (561) 482-2868
Southwinds Golf Course,,Boca Raton,,Municipal,https://discover.pbc.gov/parks/golf/,foreup,https://foreupsoftware.com/index.php/booking/21261/7476#/teetimes,yes,high,Exact link target on PBC parks golf page | Region: Southeast FL | Phone: (561) 483-1305
The Boca Raton Golf Club,,Boca Raton,,Resort,https://www.thebocaraton.com/experiences/golf-course-reimagined/,,,no,,Closed since Apr 7 2026 for redesign; reopens Fall 2026 | Region: Southeast FL | Phone: (855) 874-6551
Dogwood Lakes Golf Club,,Bonifay,,Public,https://dogwoodlakesgolfcourse.com,teesnap,https://dogwoodlakesgc.teesnap.net/,yes,high,"Teesnap portal branded 'Dogwood Lakes Golf Club, FL'; tee sheet showed a temporary maintenance banner at fetch time | Region: Northwest FL (Panhandle) | Phone: (850) 547-4653"
Bonita Fairways Golf Club,,Bonita Springs,,Public,https://bonitafairways.com,other:native,https://bonitafairways.com/book-now/,yes,high,Book Now target on own domain; no separable engine URL exposed | Region: Southwest FL | Phone: (239) 947-9100
Bonita National Golf & Country Club,,Bonita Springs,,Resort,https://bonitanationalgolfcc.com,,,no,medium,"TeeItUp slug resolves to live booking SPA, but club site presents as private/bundled membership and does not link it | Region: Southwest FL | Phone: (239) 692-8832 | 2026-08-19 dark-course audit: no public online tee times. Gated community, full club membership with every home; Troon lists course type Private."
Saltleaf Golf Preserve - The Leaf,,Bonita Springs,,Public,https://saltleafgolf.com,teeitup,https://the-leaf-9-hole-par-3-short-course.book.teeitup.com/?course=18297&holes=9,yes,high,Exact link target on saltleafgolf.com; stale date param stripped | Region: Southwest FL | Phone: (239) 390-4600
Saltleaf Golf Preserve - The Preserve Course,,Bonita Springs,,Public,https://saltleafgolf.com,teeitup,https://the-preserve-18-hole-championship-golf-course.book.teeitup.com/?course=3664,yes,high,Exact link target on saltleafgolf.com; stale date param stripped | Region: Southwest FL | Phone: (239) 390-4600
Spanish Wells Golf & Country Club,,Bonita Springs,,Semi-Private,https://www.spanishwellscountryclub.com,teeitup,https://spanish-wells-country-club.book.teeitup.com/?course=6509,yes,high,Public tee times link on spanishwellscountryclub.com | Region: Southwest FL | Phone: (239) 992-5100
Streamsong Black,,Bowling Green,,Resort,https://streamsongresort.com,rguest,https://book.rguest.com/onecart/golf/courses-v2/974/StreamsongResort,yes,high,One resort portal covers all Streamsong courses | Region: Central FL (Orlando) | Phone: (863) 428-1000
Streamsong Blue,,Bowling Green,,Resort,https://streamsongresort.com,rguest,https://book.rguest.com/onecart/golf/courses-v2/974/StreamsongResort,yes,high,One resort portal covers all Streamsong courses | Region: Central FL (Orlando) | Phone: (863) 428-1000
Streamsong Red,,Bowling Green,,Resort,https://streamsongresort.com,rguest,https://book.rguest.com/onecart/golf/courses-v2/974/StreamsongResort,yes,high,One resort portal covers all Streamsong courses | Region: Central FL (Orlando) | Phone: (863) 428-1000
The Chain at Streamsong,,Bowling Green,,Resort,https://streamsongresort.com/golf/the-chain,rguest,https://book.rguest.com/onecart/golf/courses-v2/974/StreamsongResort,yes,high,One resort portal covers all Streamsong courses | Region: Central FL (Orlando) | Phone: (863) 428-1000
Torrey Oaks RV & Golf Resort,,Bowling Green,,Resort,https://torreyoaksrv.com,,,no,,Resort site has no golf booking page or tee-time system; phone only | Region: Southwest FL | Phone: (863) 773-3157
Cypress Creek Country Club,,Boynton Beach,,Semi-Private,,,,unknown,,Site returned no readable content; identity unconfirmed | Region: Southeast FL | Research 2026-07-29: No official site located
The Links at Boynton Beach - Championship Course,,Boynton Beach,,Municipal,https://www.boynton-beach.org/278/Golf,foreup,https://foreupsoftware.com/index.php/booking/21083,yes,medium,"TeeItUp subdomain resolves to live booking SPA; name exact | Region: Southeast FL | Phone: (561) 742-6501 | 2026-08-19 dark-course audit: left TeeItUp for foreup. foreUP portal titled 'The Links at Boynton Beach - Online Booking'. City page lists phone only, no TeeItUp."
The Links at Boynton Beach - The Family Course,,Boynton Beach,,Municipal,https://www.boynton-beach.org/278/Golf,foreup,https://foreupsoftware.com/index.php/booking/21083,yes,medium,"Same TeeItUp tee sheet; select Family Course | Region: Southeast FL | Phone: (561) 742-6501 | 2026-08-19 dark-course audit: left TeeItUp for foreup. Same foreUP portal as the Championship course, separate schedule."
Westchester Golf & Country Club,,Boynton Beach,,Semi-Private,https://westchestercc.com,,,no,,Booking policy: call pro shop; Noteefy is waitlist only | Region: Southeast FL | Phone: (561) 734-6300
Greens of Manatee Golf Course,,Bradenton,,Public,,,,yes,medium,"greensofmanatee.com is an expired/parked domain; GolfNow course page (101 Cortez Rd W, Bradenton) lists no phone, website or bookable tee times; ran out of WebFetch quota (429) before testing further candidates | Region: Southwest FL | Research 2026-07-29: Open public executive course; former domain expired, engine not captured"
IMG Academy Golf Club,,Bradenton,,Semi-Private,https://www.imgacademygolfclub.com,other:clubhouseonline,https://www.imgacademygolfclub.com/PublicTeeTimes/TeeSheet,yes,high,"ClubHouse Online E3 is NOT the NetCaddy engine our clubessential adapter reads. Measured 2026-07-30: the adapter's endpoint /a_master/net/netcaddy/api/teetimes/Available 404s on this host, and the public tee sheet is /CMSModules/CHO/TeeTimes/PublicTeeTimes.aspx - a Kentico-hosted ASP.NET WebForms page with no JSON API, one form, no times in the initial HTML and a cookie-consent wall in front of it. Retagged off clubessential, which was claiming ""right platform, missing ids"" for a platform we cannot read. Belongs with the ASP.NET postback family alongside the CPS webstore and proshopteetimes | Public tee sheet on own domain, Powered by Jonas Club Software | Region: Southwest FL | Phone: (941) 758-1466"
Legacy Golf Club,,Bradenton,,Public,https://www.lakewoodranchgolf.com,,,no,,legacygolfclub.com now redirects to lakewoodranchgolf.com; The Legacy is a private 4th course of Lakewood Ranch G&CC | Region: Southwest FL | Phone: (941) 907-7067
Manatee County Golf Course,,Bradenton,,Municipal,https://www.golfmanatee.com,other:unclaimed-chronogolf,,yes,high,"Site built on Lightspeed Golf website app; Chronogolf club page confirms Bradenton, FL | Region: Southwest FL | Phone: (941) 792-6773 | Verified 2026-07-29 by the real fetch path (probe-results/newly-ready.json): Chronogolf reports this club as an UNCLAIMED directory listing with online_booking disabled, on all three dates probed - the marketplace API returns nothing, so it was erroring on every scrape while sitting at ready. Retagged so the directory sends golfers to the course's own site instead of a dead placeholder. Where it really sells tee times is open work"
Peridia Golf & Country Club,,Bradenton,,Semi-Private,https://www.peridiagcc.net,teeitup,https://peridia-golf-and-country-club.book.teeitup.com/,yes,high,Link target from peridiagcc.net Book Online page | Region: Southwest FL | Phone: (941) 758-2582
Pinebrook Ironwood Golf Course,,Bradenton,,Public,https://www.pinebrookironwood.com,teeitup,https://pinebrookironwood-golf-club.book.teeitup.com/,yes,high,Link target on course site | Region: Southwest FL | Phone: (941) 792-3288
River Run Golf Links,,Bradenton,,Municipal,https://www.riverrungolflinks.com,teeitup,https://river-run-golf-links.book.teeitup.com/,yes,high,Site has Book Now; TeeItUp slug resolves to live booking SPA | Region: Southwest FL
River Strand Golf & Country Club,,Bradenton,,Semi-Private,https://www.riverstrandgolf.com,,,no,,Club site is member-login only; no public booking engine; TeeItUp slugs not found | Region: Southwest FL | Phone: (941) 708-3837
Stoneybrook at Heritage Harbour Golf Club,,Bradenton,,Public,https://www.heritageharbourgolfclub.com,teeitup,https://heritage-harbour-golf-club.book.teeitup.com/,yes,high,"Now branded Heritage Harbour Golf Club, 8000 Stone Harbour Loop Bradenton; site has Book A Tee Time | Region: Southwest FL | Phone: (941) 746-2696"
The Links at Greenfield Plantation,,Bradenton,,Public,https://www.greenfieldplantationgolf.com,teeitup,https://the-links-at-greenfield-plantation.book.teeitup.com/,yes,high,Link target on course site | Region: Southwest FL | Phone: (941) 747-9432
The Preserve Golf Club,,Bradenton,,Semi-Private,,teeitup,https://the-preserve-golf-club-at-tara.book.teeitup.com/,yes,high,TeeItUp slug matches The Preserve Golf Club at Tara and resolves to live booking SPA | Region: Southwest FL
