Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Bay Park Golf Course,,East Rockaway,,Municipal,https://www.nassaucountyny.gov/1779/Golf,other:nassau-county,https://golf.nassaucountyny.gov/,yes,high,Pro shop (516) 571-7242 | 9 holes; Nassau County-owned; county reservation app/account required; city-fallback coords (approx) — County reservation portal (login/register); resident registration required | Long Island region | Nassau County | Source sheet verification: VERIFIED
Bethpage State Park - Black Course,,Farmingdale,,Public,https://www.bethpagegolfcourse.com/,foreup,https://foreupsoftware.com/index.php/booking/19765/2431#teetimes,yes,high,Pro shop (516) 249-0700 | 18 holes; NYS-owned state park daily-fee; famed US Open venue; ForeUp shared across all 5 Bethpage courses; NYS resident pricing | Long Island region | Nassau County | Source sheet verification: VERIFIED
Bethpage State Park - Blue Course,,Farmingdale,,Public,https://www.bethpagegolfcourse.com/,foreup,https://foreupsoftware.com/index.php/booking/19765/2431#teetimes,yes,high,Pro shop (516) 249-0700 | 18 holes; NYS state park; shared Bethpage ForeUp booking | Long Island region | Nassau County | Source sheet verification: VERIFIED
Bethpage State Park - Green Course,,Farmingdale,,Public,https://www.bethpagegolfcourse.com/,foreup,https://foreupsoftware.com/index.php/booking/19765/2431#teetimes,yes,high,Pro shop (516) 249-0700 | 18 holes; NYS state park; shared Bethpage ForeUp booking | Long Island region | Nassau County | Source sheet verification: VERIFIED
Bethpage State Park - Red Course,,Farmingdale,,Public,https://www.bethpagegolfcourse.com/,foreup,https://foreupsoftware.com/index.php/booking/19765/2431#teetimes,yes,high,Pro shop (516) 249-0700 | 18 holes; NYS state park; same ForeUp tee sheet as other Bethpage loops | Long Island region | Nassau County | Source sheet verification: VERIFIED
Bethpage State Park - Yellow Course,,Farmingdale,,Public,https://www.bethpagegolfcourse.com/,foreup,https://foreupsoftware.com/index.php/booking/19765/2431#teetimes,yes,high,Pro shop (516) 249-0700 | 18 holes; NYS state park; shared Bethpage ForeUp booking | Long Island region | Nassau County | Source sheet verification: VERIFIED
Brookville Country Club,,Old Brookville,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Cantiague Park Golf Course,,Hicksville,,Municipal,https://www.nassaucountyny.gov/1779/Golf,other:nassau-county,https://golf.nassaucountyny.gov/,yes,high,Pro shop (516) 571-7061 | 9 holes; Nassau County-owned; county reservation app/account required; coords approx (park entrance) — County reservation portal (login/register); resident registration required | Long Island region | Nassau County | Source sheet verification: VERIFIED
Cedarbrook Club,,Old Brookville,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Cherry Valley Club,,Garden City,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Christopher Morley Park Golf Course,,North Hills,,Municipal,https://www.nassaucountyny.gov/1779/Golf,other:nassau-county,https://golf.nassaucountyny.gov/,yes,high,Pro shop (516) 571-8120 | 9-hole par-30 executive; Nassau County-owned; county reservation app/account required — County reservation portal (login/register); resident registration required | Long Island region | Nassau County | Source sheet verification: VERIFIED
Deepdale Golf Club,,Manhasset,,Private,https://www.deepdalegolfclub.com/,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Eisenhower Park Golf - Blue Course,,East Meadow,,Municipal,https://www.nassaucountyny.gov/1779/Golf,other:nassau-county,https://golf.nassaucountyny.gov/,yes,high,Pro shop (516) 572-0327 | 18 holes; Nassau County-owned (Robert Trent Jones); shared county reservation app; could not verify public tee sheet — County reservation portal (login/register); resident registration required | Long Island region | Nassau County | Source sheet verification: VERIFIED
Eisenhower Park Golf - Red Course,,East Meadow,,Municipal,https://www.nassaucountyny.gov/1779/Golf,other:nassau-county,https://golf.nassaucountyny.gov/,yes,high,Pro shop (516) 572-0327 | 18 holes; Nassau County-owned (Devereux Emmet 1914); online reservation via county golf app requires account/Leisure Passport; could not load public tee sheet — County reservation portal (login/register); resident registration required | Long Island region | Nassau County | Source sheet verification: VERIFIED
Eisenhower Park Golf - White Course,,East Meadow,,Municipal,https://www.nassaucountyny.gov/1779/Golf,other:nassau-county,https://golf.nassaucountyny.gov/,yes,high,Pro shop (516) 572-0327 | 18 holes; Nassau County-owned (Robert Trent Jones); shared county reservation app; could not verify public tee sheet — County reservation portal (login/register); resident registration required | Long Island region | Nassau County | Source sheet verification: VERIFIED
Engineers Country Club,,Roslyn Harbor,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Fresh Meadow Country Club,,Lake Success,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Garden City Country Club,,Garden City,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Garden City Golf Club,,Garden City,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Glen Cove Golf Club,,Glen Cove,,Municipal,https://glencoveny.gov/municipal-golf-course,foreup,https://foreupsoftware.com/index.php/booking/20085/3523#/teetimes,yes,high,Pro shop (516) 671-0033 | 18 holes; City of Glen Cove municipal | Long Island region | Nassau County | Source sheet verification: VERIFIED
Glen Head Country Club,,Glen Head,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Glen Oaks Club,,Old Westbury,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Harbor Links Golf Course - Championship,,Port Washington,,Municipal,https://www.harborlinksgolf.net/,clubprophet,https://harborlinksgc.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (516) 767-4816 | 18 holes; Town of North Hempstead-owned; CPS.golf/ClubProphet booking | Long Island region | Nassau County | Source sheet verification: VERIFIED
Harbor Links Golf Course - Executive,,Port Washington,,Municipal,https://www.harborlinksgolf.net/,clubprophet,https://harborlinksgc.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (516) 767-4816 | 9-hole executive; Town of North Hempstead-owned; shared CPS.golf tee sheet | Long Island region | Nassau County | Source sheet verification: VERIFIED
Hempstead Golf and Country Club,,West Hempstead,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Inwood Country Club,,Inwood,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Lake Success Golf Club,,Lake Success,,Municipal,https://www.villageoflakesuccess.com/golf.php,,,no,low,Long Island region | Nassau County | Source sheet verification: NO_ONLINE
Lawrence Yacht and Country Club,,Lawrence,,Municipal,https://www.lycc.cc/,ezlinks,https://lawrencepm.ezlinksgolf.com/,yes,high,18 holes; Village of Lawrence-owned with membership tiers; own site book link resolves to EZLinks host; EZLinks not scrapeable from sandbox | Long Island region | Nassau County | Source sheet verification: VERIFIED
Lido Golf Club,,Lido Beach,,Municipal,https://www.lidogolf.com/,foreup,https://foreupsoftware.com/index.php/booking/21829/9011,yes,high,"Pro shop (516) 889-8181 | 18 holes; Town of Hempstead-owned, concessionaire-run; Chronogolf listing present but tee sheet not loaded to confirm live — Own site JS-rendered book link; chronogolf host org-blocked in sandbox so listing could not be confirmed live — Chronogolf listing is a phone-only placeholder (browser-confirmed); engine may have migrated, own-site check pending — Input site lidogolf.com now a parked GoDaddy page; real site lidogolfclub.com Book Tee Times link resolves to ForeUp; migrated off Chronogolf | Long Island region | Nassau County | Source sheet verification: VERIFIED"
Meadow Brook Club,,Jericho,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
Merrick Road Park Golf Course,,Merrick,,Municipal,https://merrickgc.com/,other:hempstead,https://hempsteadtown.com/merrickgolf/,yes,high,Pro shop (516) 868-4650 | 9-hole par-3 (The 9 at Merrick); Town of Hempstead; own online booking portal plus phone | Long Island region | Nassau County | Source sheet verification: VERIFIED
Mill River Club,,Upper Brookville,,Private,,,,no,low,Long Island region | Nassau County | Source sheet verification: Private
