Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Fox Hollow Golf Club,,American Fork,,Municipal,https://foxhollowutah.com,membersports,https://app.membersports.com/tee-times/15396/18907/0/0/0,yes,high,"27 holes; formerly Tri-City GC; owned by American Fork, Lehi and Pleasant Grove | Utah Valley region | Pro shop (801) 756-3594 | From Brian's UT registry 2026-08-07 (VERIFIED)"
Canyon Breeze Golf Course,,Beaver,,Municipal,https://canyonbreezegolfcourse.com/,,,no,high,9-hole Beaver City muni; all players register at pro shop | Southern Utah region | Pro shop (435) 438-2601 | From Brian's UT registry 2026-08-07 (NO_ONLINE)
Bountiful Ridge Golf Course,,Bountiful,,Municipal,https://bountifulridgegolf.com/,foreup,https://foreupsoftware.com/index.php/booking/18950#/teetimes,yes,high,Online bookings prepaid | Northern Utah region | Pro shop (801) 298-6040 | From Brian's UT registry 2026-08-07 (VERIFIED)
Eagle Mountain Golf Course,,Brigham City,,Public,https://eaglemountaingc.com/,foreup,https://foreupsoftware.com/index.php/booking/19943/3033#teetimes,yes,high,Northern Utah region | Pro shop (435) 723-3212 | From Brian's UT registry 2026-08-07 (VERIFIED)
Cedar Ridge Golf Course,,Cedar City,,Municipal,https://golfcedarridge.com/,foreup,https://foreupsoftware.com/index.php/booking/19680#/teetimes,yes,high,Only course in Iron County | Southern Utah region | Pro shop (435) 586-2970 | From Brian's UT registry 2026-08-07 (VERIFIED)
Cedar Hills Golf Club,,Cedar Hills,,Municipal,https://www.cedarhillsgolfutah.com,membersports,https://app.membersports.com/tee-times/15381/18891/0/0/0,yes,high,Utah Valley region | Pro shop (801) 796-1705 | From Brian's UT registry 2026-08-07 (VERIFIED)
Crane Field Golf Course,,Clinton,,Public,https://www.cranefieldgolf.com/,foreup,https://foreupsoftware.com/index.php/booking/1/1#teetimes,yes,high,ForeUp course ID really is 1 (early ForeUp customer) | Northern Utah region | Pro shop (801) 779-3800 | From Brian's UT registry 2026-08-07 (VERIFIED)
Sunset View Golf Course,,Delta,,Public,https://www.sunsetviewgolfcourse.com/,membersports,https://app.membersports.com/book-tee-time/16773/20538,yes,high,Millard County recreation | Central & Eastern Utah region | Pro shop (435) 864-2508 | From Brian's UT registry 2026-08-07 (VERIFIED)
South Mountain Golf Course,,Draper,,Municipal,https://www.saltlakecounty.gov/parks-recreation/facilities-and-golf/golf/,chronogolf,https://www.chronogolf.com/club/south-mountain-slco,yes,high,Salt Lake County Golf; carts mandatory | Salt Lake Metro region | Pro shop (385) 468-1480 | From Brian's UT registry 2026-08-07 (VERIFIED)
The Ranches Golf Club,,Eagle Mountain,,Public,https://theranchesgolfclub.com,tenfore,https://fox.tenfore.golf/theranches,yes,high,TenFore Golf engine (fox.tenfore.golf) | Utah Valley region | Pro shop (801) 421-0080 | From Brian's UT registry 2026-08-07 (VERIFIED)
