Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Lakewood Links Golf Club,,Alburgh,,Public,https://lakewoodlinks.com/,chronogolf,https://www.chronogolf.com/club/alburg-golf-links,yes,high,"Pro shop (802) 796-3586 | 18 holes; renamed from Alburg Golf Links. Original 9 built early 1960s, second 9 added in the 1970s. Islands/Lake Champlain area. | Northwest / Champlain Valley region | Source sheet verification: VERIFIED"
Bakersfield Country Club,,Bakersfield,,Semi-Private,https://www.facebook.com/profile.php?id=100028139666635,,,no,medium,Pro shop (802) 933-5100 | Small rural 9-hole club in Franklin County; VTGA member. No standalone website - Facebook page only; no online tee sheet found. | Northwest / Champlain Valley region | Source sheet verification: Phone Only
Barton Golf Club,,Barton,,Public,https://www.bartongolfclub.com/,other:wix-bookings,https://www.bartongolfclub.com/book-online,yes,high,"Pro shop (802) 525-1126 | 18 holes, 5,920 yards, par 71; family-owned Northeast Kingdom club. Separate 9-hole and 18-hole booking calendars on site. Link is a menu page with separate 18-hole and 9-hole 'Book Now' targets; scrape one level deeper. Wix Bookings widget. | Northeast Kingdom region | Wix Bookings confirmed 2026-08-13 - the two Book Now targets are bartongolfclub.com/booking-calendar/18-hole-tee-time and /9-hole-tee-time, Wix's own native scheduler, not an external golf engine. Nothing to scrape | Source sheet verification: VERIFIED"
Bellows Falls Country Club,,Bellows Falls,,Semi-Private,https://www.bellowsfallscountryclub.com/,easytee,https://app.easyteegolf.com/course/bellow-falls-country-club/,yes,high,Pro shop (802) 463-9809 | 9 holes in Rockingham/Bellows Falls; club asks that tee times be booked online or by phone (answering-machine requests not honored). | Southern Vermont region | Source sheet verification: VERIFIED
Mount Anthony Country Club,,Bennington,,Public,https://mtanthonycc.com/,teesnap,http://mtanthonycc.teesnap.net,yes,high,"Pro shop (802) 442-2617 | 18 holes on 110 acres; club established 1897, extensively renovated since 2007. Open to the public with memberships available. | Southern Vermont region | Source sheet verification: VERIFIED"
Bradford Golf Club,,Bradford,,Public,https://www.bradfordgolfclubvt.com/,,,no,medium,"Pro shop (802) 222-5207 | 9 holes (playable as 18) at the confluence of the Waits and Connecticut rivers. Site states there are no pre-assigned tee times; first come, first served. | Upper Valley / Connecticut River region | Source sheet verification: NO_ONLINE"
Neshobe Golf Club,,Brandon,,Semi-Private,https://www.neshobe.com/,golfback,https://golfback.com/#/course/53b13707-f236-4156-862b-8d65f0950999,yes,high,Pro shop (802) 247-3611 | 18 holes at 224 Town Farm Rd; live Lightspeed/Chronogolf tee sheet with reserve-now-pay-later. | Central Vermont region | Source sheet verification: VERIFIED
Brattleboro Country Club,,Brattleboro,,Semi-Private,https://brattleborocountryclub.com/,clubcaddie,https://apimanager-cc6.clubcaddie.com/webapi/view/bifgdaab,yes,high,Pro shop (802) 257-7380 | 18 holes; markets itself as Southern Vermont's championship course. Club Caddie member portal at customer-cc6.clubcaddie.com (clubid 20945). | Southern Vermont region | Source sheet verification: VERIFIED
Burlington Country Club,,Burlington,,Private,https://www.burlingtoncountryclub.org/,,,no,high,Pro shop (802) 864-4683 | 18 holes at 460 Country Club Rd; describes itself as Vermont's premier private golf club. Classic 1920s parkland layout widely attributed to Donald Ross. | Northwest / Champlain Valley region | Source sheet verification: PRIVATE
Bomoseen Golf Club,,Castleton,,Semi-Private,,,,no,high,"Pro shop (802) 468-5581 | 9 holes near Lake Bomoseen/Hydeville; same facility historically listed as Prospect Bay Country Club (opened 1953, 2,505 yds). No live online tee sheet found. | Central Vermont region | Source sheet verification: Verified"
Windham Golf Club,,Chester,,Semi-Private,,teeitup,https://windham-golf-course.book.teeitup.com/?course=8541,yes,high,"Pro shop (802) 875-2517 | 18 holes on Popple Dungeon Rd; the former Tater Hill Golf Club (Don Warner, 1964), once operated by Okemo. Renamed; some directories still list Tater Hill as closed. | Southern Vermont region | Source sheet verification: Verified"
Kirby Country Club,,Concord,,Private,https://www.facebook.com/p/Kirby-golf-course-100069462581554/,,,no,medium,"Pro shop (802) 748-9200 | 9-hole Northeast Kingdom club near St. Johnsbury; Facebook presence only, no online booking found. | Northeast Kingdom region | Source sheet verification: UNVERIFIED"
Dorset Field Club,,Dorset,,Private,https://www.dorsetfieldclub.com/,,,no,high,Pro shop (802) 867-4002 | 18 holes; founded 1886 and billed as the oldest continuously operating golf course in the United States. | Southern Vermont region | Source sheet verification: PRIVATE
Honey Pond Golf Club,,Dorset,,Private,,,,no,high,Private estate course (Honey Pond Farm) listed in the VTGA club directory; not open for public tee times. Exact town listing unconfirmed - Dorset area. | Southern Vermont region | Source sheet verification: PRIVATE
Enosburg Falls Country Club,,Enosburg Falls,,Semi-Private,https://www.efccvt.com/,,,no,high,"Pro shop (802) 933-2296 | 18 holes on North Main St in northern Franklin County; Chronogolf directory record confirms no online tee sheet. | Northwest / Champlain Valley region | efcc-proshop.com/public-tee-time probed 2026-08-31: informational page only, no booking engine. | Source sheet verification: Verified"
Essex Country Club,,Essex Junction,,Semi-Private,https://www.essexccvt.com/,foreup,https://foreupsoftware.com/index.php/booking/21837/9064#/teetimes,yes,high,"Pro shop (802) 879-3232 | 18 holes at 332 Old Stage Rd, about 20 minutes from Burlington; memberships plus public tee times through ForeUp. | Northwest / Champlain Valley region | Source sheet verification: VERIFIED"
