Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
The Club at Creighton Farms,,Aldie,,Private,https://www.creightonfarms.com/,,,private,,Private club — members only. Jack Nicklaus Signature course. | Region: Northern Virginia | Phone: (703) 957-4800
Belle Haven Country Club,,Alexandria,,Private,https://www.bellehavencc.com/,,,private,,Private club — members only. | Region: Northern Virginia | Phone: (703) 329-1448
Greendale Golf Course,,Alexandria,,Municipal,https://www.fairfaxcounty.gov/parks/golf/greendale,teeitup,https://fairfax-county-mco.book.teeitup.golf/?course=7742,yes,high,"Fairfax County Park Authority 18-hole course. Shared FCPA booking engine (JS app; confirmed live, linked from official county site). | Region: Northern Virginia | Phone: (703) 971-6170 | Shared FCPA tenant; facility pinned from the alias facilities list (probe 2026-07-28) so we never publish a sibling course sheet."
Mount Vernon Country Club,,Alexandria,,Private,https://www.mountvernoncc.org/,,,private,,Private club — members only. Contact info per Chronogolf directory listing. | Region: Northern Virginia | Phone: (703) 780-3565
Pinecrest Golf Course,,Alexandria,,Municipal,https://www.fairfaxcounty.gov/parks/golf/pinecrest,teeitup,https://fairfax-county-mco.book.teeitup.golf/?course=17005,yes,high,Fairfax County Park Authority 9-hole par-35 executive course. Shared FCPA booking engine; indoor Trackman simulator books at pinecrest-trackman.book.teeitup.golf. | Region: Northern Virginia | Phone: (703) 941-1061 | Shared FCPA tenant; facility pinned from the alias facilities list (probe 2026-07-28) so we never publish a sibling course sheet.
Army Navy Country Club (Arlington),,Arlington,,Private,https://www.ancc.org/,,,private,,Private club — members only. 27-hole Arlington campus of member-owned club founded 1924. | Region: Northern Virginia | Phone: (703) 521-6800
Washington Golf and Country Club,,Arlington,,Private,https://www.washingtongolf.org/,,,private,,Private club — members only. Phone per Chronogolf directory listing; official site is a JS-only members app. | Region: Northern Virginia | Phone: (703) 524-4600
Belmont Country Club,,Ashburn,,Private,https://www.invitedclubs.com/clubs/belmont-country-club,,,private,,Private club — members only. Invited (ClubCorp) club; Arnold Palmer Signature course. | Region: Northern Virginia | Phone: (703) 723-5330
Brambleton Golf Course,,Ashburn,,Municipal,https://www.novaparks.com/golf/brambleton-golf-course,teeitup,https://nova-parks.book.teeitup.com/?course=1137,yes,high,NOVA Parks 18-hole course. Booking link taken from official NOVA Parks course page. | Region: Northern Virginia | Phone: (703) 327-3403
Virginia National Golf Club,,Bluemont (Clarke County),,Closed,,,,no,,"CLOSED — Riverside course along the Shenandoah reported permanently closed; the virginianational.com domain now states the course closed and the property was repurposed. Stale GolfNow listing persists. Directory phone numbers conflict, so none recorded. | Region: Northern Virginia"
Bristow Manor Golf Club,,Bristow,,Public,https://www.bristowmanorgc.com/,teeitup,https://bristow-manor-golf-club.book.teeitup.com/,yes,high,18-hole public course. Booking URL quoted from the course's own tee-times page (JS app; tenant confirmed live). | Region: Northern Virginia | Phone: (703) 368-3558
Broad Run Golf and Practice Facility,,Bristow,,Closed,,,,no,,9-hole course and practice facility confirmed closed (Yelp marks it CLOSED; broadrungolf.com domain is parked/for sale). Recorded for completeness. | Region: Northern Virginia
Chantilly National Golf and Country Club,,Centreville,,Private,https://www.invitedclubs.com/clubs/chantilly-national-golf-and-country-club,,,private,,Private club — members only. Invited (ClubCorp) club; details confirmed on Invited club page. | Region: Northern Virginia | Phone: (703) 631-9560
Pleasant Valley Golf Club,,Chantilly,,Public,https://www.pleasantvalleygc.com/,teeitup,https://pleasant-valley-golf-club.book.teeitup.com/,yes,high,18-hole public course. Booking URL quoted from the course's own rates page; live TeeItUp tenant confirmed (JS app). | Region: Northern Virginia | Phone: (703) 222-7900
Twin Lakes Golf Course,,Clifton,,Municipal,https://www.fairfaxcounty.gov/parks/golf/twin-lakes,teeitup,"https://fairfax-county-mco.book.teeitup.golf/?course=7756,7743",yes,high,Fairfax County Park Authority 36-hole facility (Oaks and Lakes courses). Shared FCPA booking engine. | Region: Northern Virginia | Phone: (703) 631-9099 | Shared FCPA tenant; facility pinned from the alias facilities list (probe 2026-07-28) so we never publish a sibling course sheet.
Westfields Golf Club,,Clifton,,Public,https://www.westfieldsgolf.com/,golfnow,https://www.golfnow.com/tee-times/facility/1094-westfields-golf-club/search,yes,high,"Fred Couples signature public course. Own website (westfieldsgolf.com/bookteetimes) was unreachable to fetch (connection blocked), so its native engine could not be confirmed; GolfNow tee sheet for the course confirmed loading. | Region: Northern Virginia | Phone: (703) 631-3300"
Country Club of Culpeper,,Culpeper,,Private,https://www.countryclubofculpeper.com/,,,private,,Private club — members only. Member portal runs on Club Caddie; no public tee sheet. | Region: Northern Virginia | Phone: (540) 825-1746
1757 Golf Club,,Dulles (Sterling),,Private,https://www.1757golfclub.com/,,,private,,Private club — members only. Formerly public; now a Heritage Golf Group private club (course restricted to members/guests; driving range open to public). | Region: Northern Virginia | Phone: (703) 444-0901
Potomac Shores Golf Club,,Dumfries,,Public,https://www.potomacshoresgolfclub.com/,golfwithaccess,https://golfwithaccess.com/course/potomac-shores-golf-club/reserve-tee-time,yes,high,"Jack Nicklaus Signature public course managed by Troon. The site's tee-times page returns 403 to automated fetches and no third-party tee sheet could be confirmed, so the underlying booking engine and phone number could not be verified. | Region: Northern Virginia | RESOLVED 2026-07-28: the site Book Tee Time button goes to a troon.com wrapper which lands on Golf With Access. Two uuids appear on the page; 876c470a-dfcc-43e8-8666-4b0dc18d9316 is the dead facility aggregate (0 rows on both dates) and 10c68f5d-6ad2-4e04-ba84-9d96b79688c5 is the bookable course id - 38/35 slots on +1/+5, course.name ""Potomac Shores"", id matching every slot. Pinned in EXTRA_IDS."
